Bicycle,2396,738,2667,1404
Scooter,1571,1243,2355,2291
Scooter,239,945,695,1787
Scooter,270,669,1039,1718
Scooter,581,786,726,1369
Scooter,716,799,859,1379
Scooter,839,796,1024,1387
Scooter,953,801,1193,1396
Scooter,1126,805,1348,1411
Scooter,1314,791,1526,1431
Scooter,1498,797,1719,1437
Scooter,1662,795,1894,1462
Scooter,1856,0,2352,333
Scooter,1868,11,2495,637
Scooter,1855,322,2427,933
Scooter,2157,643,2490,1226
Scooter,2998,0,3221,319
Scooter,3015,3,3311,637
Scooter,3003,296,3311,962
Scooter,2728,0,2813,304
Scooter,3085,628,3311,1281
Scooter,2288,815,2444,1499
